,GEOID,Region,Idling duration,Area in squaremile,Area normalized idling duration,Statewide percentile rank,County percentile rank
0,6037205120,Los Angeles,15570581.02,0.566118002,27504126.28,100,99
1,6037206050,Los Angeles,12379290.11,0.689071,17965188.08,99,98
2,6087110401,Santa Cruz,9309789.587,1.521409988,6119185.268,97,100
3,6037204920,Los Angeles,12001801.05,0.351343006,34159783.59,100,99
4,6095253501,Solano,3993171.151,148.4349976,26901.81707,4,4
5,6037920121,Los Angeles,5606558.427,4.710780144,1190154.976,73,59
6,6095253502,Solano,4390576.501,85.55419922,51319.24021,7,7
7,6095252206,Solano,3488418.221,7.117730141,490102.6243,45,65
8,6105000500,Trinity,2295503.164,1432.97998,1601.908746,1,50
9,6037207400,Los Angeles,3235793.896,0.335682988,9639433.663,98,96
10,6087122401,Santa Cruz,1549169.271,27.0461998,57278.63,8,3
11,6095252205,Solano,2023237.635,13.82429981,146353.715,17,28
12,6001450300,Alameda,2098810.793,1.209900022,1734697.707,83,74
13,6095252204,Solano,2235912.004,20.73010063,107858.232,13,16
14,6037206010,Los Angeles,2548982.997,0.55548197,4588777.193,95,91
15,6001444500,Alameda,619287.4286,0.756483018,818640.2253,62,47
16,6095252203,Solano,697624.7549,15.40159988,45295.60306,6,6
17,6001444400,Alameda,928046.5929,0.396818012,2338720.937,88,82
18,6037104322,Los Angeles,2184497.184,0.26730299,8172363.447,98,95
19,6087120902,Santa Cruz,828072.279,2.499969959,331232.8918,33,54
20,6087101002,Santa Cruz,839728.7357,0.791373014,1061103.576,70,91
21,6037206020,Los Angeles,998395.9449,0.337273985,2960192.57,92,85
22,6037460101,Los Angeles,1033920.327,2.200190067,469923.1862,44,24
23,6037275604,Los Angeles,515498.619,0.598626971,861134.9701,63,45
24,6037137502,Los Angeles,1056164.358,0.807038009,1308692.213,76,63
25,6087120901,Santa Cruz,722939.9054,7.093659878,101913.5281,12,14
26,6001442900,Alameda,595006.4715,0.797890007,745724.9319,59,45
27,6037137501,Los Angeles,1406211.798,0.97082001,1448478.384,79,66
28,6001444100,Alameda,290582.5297,1.164520025,249529.8693,26,16
29,6067002400,Sacramento,380196.3555,1.245069981,305361.4346,31,41
30,6037195802,Los Angeles,268081.563,0.155414999,1724940.099,83,71
31,6037192700,Los Angeles,461552.3648,0.205100998,2250366.252,88,79
32,6087110601,Santa Cruz,482732.7585,0.668088973,722557.5909,58,81
33,6067002300,Sacramento,458754.3151,0.468378991,979451.094,67,82
34,6001443002,Alameda,268886.2494,0.610163987,440678.6622,41,28
35,6001444200,Alameda,226351.6175,0.799125016,283249.3202,29,17
36,6087122205,Santa Cruz,558373.6796,1.831459999,304878.9926,31,49
37,6037194500,Los Angeles,583272.5713,0.264611006,2204264.216,87,79
38,6037195600,Los Angeles,556608.2098,0.203700006,2732489.904,90,83
39,6087110301,Santa Cruz,451589.178,0.286673993,1575270.827,81,97
40,6037195500,Los Angeles,352355.8209,0.469195992,750977.9006,59,41
41,6001443301,Alameda,323469.3957,0.601060987,538164.0182,48,35
42,6087110503,Santa Cruz,508790.0759,0.370251,1374176.102,77,94
43,6037103401,Los Angeles,485447.7178,0.541176021,897023.7019,64,47
44,6037143200,Los Angeles,368001.8278,0.369536996,995845.6986,68,52
45,6001442800,Alameda,323282.2405,0.493687987,654831.0853,54,41
46,6087100801,Santa Cruz,397679.2254,0.437243015,909515.3317,65,86
47,6037192610,Los Angeles,178404.0077,0.160389006,1112320.676,71,56
48,6001443102,Alameda,325136.851,0.91406399,355704.693,35,22
49,6037195710,Los Angeles,371702.5784,0.186646,1991484.303,85,76
50,6001442700,Alameda,266813.0224,0.476455986,559995.1096,49,36
51,6037139200,Los Angeles,590550.2435,0.444797993,1327681.899,76,63
52,6087121702,Santa Cruz,256783.6859,0.550014973,466866.7193,43,65
53,6037195300,Los Angeles,409637.3891,0.224075004,1828126.212,84,73
54,6037111303,Los Angeles,417715.7141,0.603825986,691781.6118,56,38
55,6087110505,Santa Cruz,280596.7552,0.402630001,696909.7043,56,78
56,6037104321,Los Angeles,585053.3684,0.200718001,2914802.693,91,84
57,6095253208,Solano,158587.749,0.605746984,261805.2636,27,38
58,6001443001,Alameda,139160.3212,0.296808988,468854.8085,43,29
59,6087110202,Santa Cruz,290979.4276,0.907966971,320473.582,32,51
60,6037195100,Los Angeles,261915.1244,0.731804013,357903.3726,35,18
61,6087121602,Santa Cruz,119356.5663,0.643675983,185429.5787,20,35
