,GEOID,Region,NOx start emission,NOx idling emission,NOx running emission,NOx total emission,Area in squaremile,Area normalized NOx,Statewide percentile rank,County percentile rank
0,6037205120,Los Angeles,1.622639575,5.671410424,2.785356548,10.07940655,0.566118002,17.80442684,95,92
1,6037206050,Los Angeles,2.145400221,4.509018313,17.36788051,24.02229904,0.689071,34.86186337,99,97
2,6087110401,Santa Cruz,1.0809649,2.248094956,5.008689588,8.337749445,1.521409988,5.48027784,81,99
3,6037204920,Los Angeles,0.913030719,4.371522135,9.259754286,14.54430714,0.351343006,41.39631897,99,98
4,6095253501,Solano,1.573999876,5.089642843,30.2299148,36.89355752,148.4349976,0.248550262,13,5
5,6037920121,Los Angeles,1.881504254,2.042126358,8.674821406,12.59845202,4.710780144,2.674387603,69,66
6,6095253502,Solano,2.689427494,5.596170417,15.57914213,23.86474004,85.55419922,0.278942942,14,8
7,6095252206,Solano,2.179410651,4.446291471,5.017704027,11.64340615,7.117730141,1.635831356,57,47
8,6105000500,Trinity,0.274310215,0.860826913,2.219739223,3.354876351,1432.97998,0.002341189,1,25
9,6037207400,Los Angeles,0.354064533,1.178601827,1.897160948,3.429827308,0.335682988,10.21745941,90,85
10,6087122401,Santa Cruz,0.119015007,0.374087899,0.364887789,0.857990695,27.0461998,0.031723152,2,1
11,6095252205,Solano,2.154880783,2.578791782,26.7772285,31.51090107,13.82429981,2.279384959,65,58
12,6001450300,Alameda,1.6015123,1.355013504,6.613484317,9.570010121,1.209900022,7.909752831,86,79
13,6095252204,Solano,4.191200536,2.849863705,42.7737561,49.81482034,20.73010063,2.403018742,67,62
14,6037206010,Los Angeles,0.280173662,0.928438619,0.302960962,1.511573243,0.55548197,2.721192269,69,66
15,6001444500,Alameda,0.383232754,0.399818236,2.571462432,3.354513422,0.756483018,4.434353898,77,69
16,6095252203,Solano,0.440174857,0.889183235,9.729991118,11.05934921,15.40159988,0.71806496,33,21
17,6001444400,Alameda,0.284937333,0.599156279,0.607687977,1.49178159,0.396818012,3.759359567,75,66
18,6037104322,Los Angeles,0.595566337,0.795678728,0.979581497,2.370826562,0.26730299,8.869435252,87,83
19,6087120902,Santa Cruz,0.370468561,0.199959956,4.702237034,5.272665551,2.499969959,2.109091564,63,83
20,6087101002,Santa Cruz,0.239932563,0.202774716,0.294594358,0.737301636,0.791373014,0.931673968,40,64
21,6037206020,Los Angeles,0.188032042,0.363654584,1.819078935,2.370765562,0.337273985,7.029197822,84,80
22,6037460101,Los Angeles,0.062743116,0.376593944,0.039728169,0.479065229,2.200190067,0.217738111,11,6
23,6037275604,Los Angeles,0.20440839,0.187764621,0.205073102,0.597246113,0.598626971,0.997693291,42,37
24,6037137502,Los Angeles,0.394512139,0.384696085,0.259389988,1.038598212,0.807038009,1.286926018,50,45
25,6087120901,Santa Cruz,0.217101976,0.174572963,4.867482898,5.259157837,7.093659878,0.741388497,34,55
26,6001442900,Alameda,0.099754597,0.384142204,6.411800842,6.895697643,0.797890007,8.642416346,87,82
27,6037137501,Los Angeles,0.31302501,0.512196959,0.616898988,1.442120958,0.97082001,1.485466867,54,51
28,6001444100,Alameda,0.262121122,0.187603024,3.018050594,3.46777474,1.164520025,2.977857542,71,62
29,6067002400,Sacramento,0.161224084,0.399098743,0.186468293,0.74679112,1.245069981,0.599798511,28,18
30,6037195802,Los Angeles,0.029793115,0.097645719,2.749960921,2.877399755,0.155414999,18.51429902,95,92
31,6037192700,Los Angeles,0.071819164,0.1681153,1.965618185,2.205552649,0.205100998,10.75349544,90,86
32,6087110601,Santa Cruz,0.270161952,0.116568594,0.934961624,1.32169217,0.668088973,1.978317595,62,80
33,6067002300,Sacramento,0.154490381,0.481562403,0.071654035,0.70770682,0.468378991,1.510970462,54,48
34,6001443002,Alameda,0.080652653,0.173595686,0.205124846,0.459373185,0.610163987,0.7528684,34,23
35,6001444200,Alameda,0.218611138,0.146134897,0.198414588,0.563160622,0.799125016,0.704721553,32,21
36,6087122205,Santa Cruz,0.149878579,0.134834095,0.354372192,0.639084866,1.831459999,0.348948307,17,30
37,6037194500,Los Angeles,0.148176352,0.212450527,0.128449062,0.489075941,0.264611006,1.848282688,60,57
38,6037195600,Los Angeles,0.121638777,0.202738331,0.194619055,0.518996162,0.203700006,2.54784559,68,65
39,6087110301,Santa Cruz,0.103371827,0.109048152,1.126530796,1.338950775,0.286673993,4.670639154,78,97
40,6037195500,Los Angeles,0.101217668,0.128341677,0.336653971,0.566213316,0.469195992,1.206773558,48,44
41,6001443301,Alameda,0.071897595,0.208835118,4.365478365,4.646211078,0.601060987,7.730016058,86,78
42,6087110503,Santa Cruz,0.13381261,0.122860822,0.198491279,0.455164712,0.370251,1.229340938,48,67
43,6037103401,Los Angeles,0.021308983,0.176818915,5.102735941,5.300863839,0.541176021,9.795082621,89,84
44,6037143200,Los Angeles,0.098751351,0.13404056,2.815451847,3.048243757,0.369536996,8.248818904,87,82
45,6001442800,Alameda,0.286131204,0.208714289,3.892142685,4.386988178,0.493687987,8.886155408,87,83
46,6087100801,Santa Cruz,0.249973794,0.096030168,0.602214715,0.948218677,0.437243015,2.16863082,64,87
47,6037192610,Los Angeles,0.025847007,0.064981669,2.270851551,2.361680227,0.160389006,14.72470143,94,90
48,6001443102,Alameda,0.040458979,0.209911644,9.392059527,9.64243015,0.91406399,10.54896621,90,86
49,6037195710,Los Angeles,0.064124254,0.135388517,1.598691728,1.798204499,0.186646,9.634305065,89,84
50,6001442700,Alameda,0.121907546,0.172257189,4.524669217,4.818833952,0.476455986,10.11391207,90,85
51,6037139200,Los Angeles,0.098258087,0.215101338,5.687819925,6.001179349,0.444797993,13.49192093,93,89
52,6087121702,Santa Cruz,0.290138716,0.062007213,0.825581612,1.177727542,0.550014973,2.141264512,64,84
53,6037195300,Los Angeles,0.021900899,0.149205849,0.048811939,0.219918687,0.224075004,0.98145122,42,37
54,6037111303,Los Angeles,0.154884736,0.152148289,0.214403315,0.52143634,0.603825986,0.86355399,38,33
55,6087110505,Santa Cruz,0.10474589,0.067757509,0.177574828,0.350078227,0.402630001,0.869478741,38,61
56,6037104321,Los Angeles,0.194148509,0.213099162,0.157097182,0.564344854,0.200718001,2.811630507,70,67
57,6095253208,Solano,0.105955403,0.202133836,0.067643985,0.375733224,0.605746984,0.620280799,29,15
58,6001443001,Alameda,0.052662999,0.089843313,0.186223488,0.3287298,0.296808988,1.107546649,45,33
59,6087110202,Santa Cruz,0.047669421,0.07026468,0.093234506,0.211168607,0.907966971,0.232573005,12,19
60,6037195100,Los Angeles,0.058895661,0.095399662,0.121344483,0.275639806,0.731804013,0.376657958,18,12
61,6087121602,Santa Cruz,0.063946784,0.0288218,0.184543046,0.277311631,0.643675983,0.430824884,21,38
62,6037205110,Los Angeles,0.157153748,0.127056453,0.529315872,0.813526072,0.110795997,7.342558338,85,80
63,6087110302,Santa Cruz,0.053799857,0.069541972,0.187437356,0.310779185,0.170803994,1.819507715,59,77
64,6037132301,Los Angeles,0.056725301,0.109976257,0.0540583,0.220759859,0.243630007,0.906127539,39,35
65,6087121601,Santa Cruz,0.082126697,0.05785077,0.092861323,0.23283879,0.902318001,0.258045157,13,22
66,6087121701,Santa Cruz,0.219850102,0.039882923,0.503501504,0.763234529,0.468524009,1.629019035,56,75
67,6037195720,Los Angeles,0.032851348,0.035671279,1.31737864,1.385901268,0.111575998,12.42114154,92,87
68,6037138000,Los Angeles,0.020421108,0.083283621,0.016948815,0.120653544,1.726729989,0.069874008,4,2
69,6037135204,Los Angeles,0.080204643,0.078725837,0.065141497,0.224071978,0.717195988,0.312427818,16,10
70,6087121802,Santa Cruz,0.090159681,0.036727361,0.381899765,0.508786807,0.381556004,1.333452498,51,70
71,6001450200,Alameda,0.026265173,0.022298724,0.078201421,0.126765319,0.62263,0.203596548,10,3
72,6037134907,Los Angeles,0.095199853,0.096804182,0.074280132,0.266284167,0.151157007,1.761639592,58,55
73,6037119003,Los Angeles,0.022690121,0.127081429,8.686165437,8.835936986,0.328848004,26.86936478,98,96
74,6087110102,Santa Cruz,0.046083964,0.038246507,0.483614522,0.567944992,0.421171993,1.348487083,51,71
75,6037192510,Los Angeles,0.012923503,0.07462173,0.028586509,0.116131742,0.131562993,0.882708273,39,34
76,6087110201,Santa Cruz,0.020716644,0.05210476,0.057854014,0.130675419,0.235395998,0.555130163,26,41
77,6037192520,Los Angeles,0.101710932,0.060111247,0.048172446,0.209994624,0.118844002,1.766977044,58,55
78,6037231901,Los Angeles,0.018152096,0.059832253,0.01946991,0.09745426,0.094503902,1.031219429,43,38
79,6095253207,Solano,0.210888728,0.139603572,0.074629733,0.425122033,1.601850033,0.265394403,13,7
80,6037192410,Los Angeles,0.019039971,0.048115531,0.098336224,0.165491725,0.264055014,0.626731995,29,24
81,6037111402,Los Angeles,0.041532786,0.048287717,0.090343011,0.180163513,0.37499401,0.480443709,23,17
82,6037232402,Los Angeles,0.00878009,0.012245474,0.024912347,0.045937911,0.209754005,0.219008506,11,6
83,6037320101,Los Angeles,0.025649701,0.038197211,0.051376657,0.115223569,0.262744009,0.438539281,21,15
84,6037135115,Los Angeles,0.105262429,0.035939401,0.12172539,0.26292722,0.128775001,2.0417567,62,60
85,6037137504,Los Angeles,0.005228593,0.033928117,0.003389043,0.042545753,1.481690049,0.028714341,2,1
86,6037132302,Los Angeles,0.090859135,0.03497328,0.144981442,0.270813856,0.250041008,1.083077764,45,40
87,6087110506,Santa Cruz,0.101152186,0.012984771,0.137927402,0.252064359,0.308187008,0.817894177,36,57
88,6037111401,Los Angeles,0.050806139,0.026448461,0.027580949,0.104835549,0.324634999,0.322933601,16,10
89,6037108203,Los Angeles,0.007201647,0.015380374,0.020449837,0.043031858,0.529878974,0.081210729,5,2
90,6037206051,Los Angeles,7.40289845,15.74044795,14.00234051,37.14568691,1.440459967,25.78737887,98,95
91,6037502700,Los Angeles,9.231426206,13.17229144,35.43501564,57.83873329,2.681770086,21.56737208,97,94
92,6047002601,Merced,5.260251658,11.67811786,38.85053049,55.7889,10.08570004,5.531485153,81,78
93,6047000403,Merced,22.39875153,12.48829552,10.27461017,45.16165722,13.45950031,3.355373987,73,65
94,6047002002,Merced,5.18808275,11.91004037,109.8722092,126.9703323,74.99849701,1.692971691,58,54
95,6037920339,Los Angeles,1.46666966,2.360144037,65.32263586,69.14944955,13.17980003,5.246623574,80,76
96,6047000404,Merced,7.178652027,7.07321493,10.78443384,25.03630079,32.79249954,0.763476439,34,30
97,6067001103,Sacramento,1.117794665,2.974790061,0.499212101,4.591796827,0.453355014,10.12847919,90,82
98,6013345203,Contra Costa,1.32421192,1.803810373,15.65847958,18.78650188,10.39900017,1.80656809,59,57
99,6047002001,Merced,2.362185295,4.438961197,29.26002381,36.06117031,159.1340027,0.226608831,12,6
100,6047001604,Merced,1.372824969,1.54808126,1.934824662,4.855730891,2.244250059,2.163631843,64,57
101,6037532607,Los Angeles,0.432394775,0.772587011,1.677116422,2.882098209,0.426079988,6.76421866,84,79
102,6047002303,Merced,2.234543271,1.897525032,3.888707922,8.020776225,2.364170074,3.392639265,73,67
103,6047000305,Merced,5.318956217,2.387567698,12.37297457,20.07949849,1.648159981,12.18297903,92,92
104,6013345113,Contra Costa,0.186400655,0.220859808,0.295224532,0.702484996,2.097860098,0.334857885,17,19
105,6037181000,Los Angeles,0.278693872,0.493622919,16.44655089,17.21886768,1.598019958,10.77512681,90,86
106,6013320004,Contra Costa,0.5447593,0.770952957,14.62982064,15.9455329,2.290400028,6.961898663,84,84
107,6013338204,Contra Costa,0.132917659,0.949982021,0.524031976,1.606931656,1.028949976,1.561719902,55,54
108,6037409100,Los Angeles,0.428645972,0.467573629,40.51237423,41.40859384,0.601324975,68.86225506,100,100
109,6047002203,Merced,0.789549394,1.60598552,0.142663864,2.538198777,3.172090054,0.800166053,36,37
110,6037139701,Los Angeles,0.308881597,0.239824267,0.261321959,0.810027822,1.312289953,0.617262839,29,23
111,6047002602,Merced,0.277904152,1.354966978,0.768586679,2.40145781,7.753129959,0.30974043,15,14
112,6047001008,Merced,0.343610173,1.371701722,0.593732542,2.309044437,2.95637989,0.781037797,35,33
113,6013324002,Contra Costa,0.851891615,0.599187186,16.09004084,17.54111964,0.782667994,22.41195471,97,100
114,6047001007,Merced,0.384541792,1.508985833,0.292407003,2.185934629,2.823159933,0.774286502,35,32
115,6037406103,Los Angeles,0.402700313,0.42835726,0.366394896,1.197452468,0.853092015,1.40366156,52,49
116,6047000903,Merced,0.487947988,1.273833655,13.54389114,15.30567278,5.067249775,3.020508848,71,63
117,6001441521,Alameda,0.092989325,0.486479365,2.519548848,3.099017538,0.626923025,4.94321857,79,72
118,6037502604,Los Angeles,0.049425002,0.195333308,0.019647997,0.264406307,0.379157007,0.697353081,32,26
119,6013345204,Contra Costa,0.421996641,0.45603452,2.755706823,3.633737984,5.661079884,0.641880712,30,32
120,6037139600,Los Angeles,0.19710809,0.216224954,0.345529973,0.758863017,0.956561029,0.793324204,35,30
121,6067001102,Sacramento,0.541389705,0.626516431,0.176053865,1.343960001,0.152696997,8.801482861,87,79
122,6047000904,Merced,0.89295559,1.294420501,21.78851665,23.97589274,3.330699921,7.198454772,85,83
123,6047002404,Merced,0.627438638,0.849005733,0.431883531,1.908327902,1.998139977,0.95505216,41,40
124,6047000205,Merced,0.374308887,0.8103646,13.27598866,14.46066215,0.84977299,17.01708847,95,100
125,6013338203,Contra Costa,0.169701323,0.65823866,0.725946069,1.553886052,0.608900011,2.551956027,68,64
126,6013336201,Contra Costa,0.044456331,0.193046232,1.266171676,1.503674239,0.478992999,3.139240538,72,69
127,6047002403,Merced,0.290829927,0.842282698,0.459113163,1.592225788,8.845159531,0.180010975,9,5
128,6067006902,Sacramento,0.242605692,0.530137137,0.488951619,1.261694449,0.608210981,2.074435497,63,57
129,6001441402,Alameda,0.055316046,0.197415192,2.009793652,2.26252489,0.642005026,3.52415448,74,66
130,6037533108,Los Angeles,0.220686085,0.23075527,0.225711369,0.677152725,0.249198005,2.717328037,69,66
131,6047000204,Merced,1.48646407,0.798040168,13.96359265,16.24809689,0.987842023,16.44807217,95,98
132,6047002306,Merced,0.113639101,0.805958989,0.103820616,1.023418706,0.437267005,2.340489205,66,60
133,6001441602,Alameda,0.082642439,0.224648905,4.994220219,5.301511564,0.649455011,8.163015874,86,80
134,6037143500,Los Angeles,0.064814823,0.170561456,0.100379724,0.335756002,0.478067011,0.702319957,32,27
135,6047001006,Merced,0.118486266,0.326762994,0.1440972,0.58934646,0.742628992,0.793594738,35,35
136,6037502901,Los Angeles,0.152517071,0.165273498,0.081915823,0.399706392,0.481557012,0.830029222,37,31
137,6001441501,Alameda,0.033561055,0.244166474,0.114582285,0.392309813,1.103629947,0.355472244,18,9
138,6037530007,Los Angeles,0.257088931,0.178020985,0.29344007,0.728549986,1.875030041,0.388553767,19,13
139,6067001201,Sacramento,0.212785009,0.415626364,0.112195641,0.740607013,0.152667999,4.851095296,79,69
140,6037550502,Los Angeles,0.097172907,0.197981181,15.03933922,15.3344933,0.68601799,22.35290258,97,94
141,6037408707,Los Angeles,0.098850003,0.128483598,8.835599046,9.062932647,1.91208005,4.739829093,78,75
142,6037139301,Los Angeles,0.061855242,0.201739594,14.38039783,14.64399267,1.106430054,13.2353533,93,88
143,6047002304,Merced,0.131950615,0.684000264,2.087152954,2.903103833,10.21290016,0.284258515,14,11
