,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
0,6071010300,San Bernardino,526262879,6954.25,75675.00148,33,29
1,6029006600,Kern,83678775.18,248.7559967,336388.9767,68,65
2,6001451104,Alameda,56555920.78,192.1000061,294408.7401,66,65
3,6077004001,San Joaquin,66056061.75,115.7360001,570747.751,75,68
4,6031001601,Kings,65701444.01,656.8040161,100032.0376,41,58
5,6029003222,Kern,58734817.12,106.4199982,551915.2239,75,78
6,6077005214,San Joaquin,54006197.42,32.55899811,1658718.037,86,75
7,6037980033,Los Angeles,57518636.11,11.05720043,5201916.747,97,94
8,6099003300,Stanislaus,57739997.82,248.4029999,232444.8491,62,67
9,6029006011,Kern,49971077.77,460.2080078,108583.6772,43,25
10,6037920104,Los Angeles,40835955.25,61.04050064,668997.7117,77,74
11,6095253300,Solano,39419825.61,171.7870026,229469.1974,62,58
12,6089012500,Shasta,64445519.6,490.118988,131489.5386,49,50
13,6029004605,Kern,39164528.11,185.6470032,210962.3503,60,46
14,6077005119,San Joaquin,41397588.44,14.57940006,2839457.609,92,87
15,6065044521,Riverside,43771201.24,65.28109741,670503.4532,77,75
16,6077003803,San Joaquin,38898680.87,17.0814991,2277240.46,89,82
17,6039001100,Madera,46752629.92,393.4559937,118825.5629,46,56
18,6099003400,Stanislaus,41504227.39,350.427002,118439.0106,46,52
19,6057000900,Nevada,40941092.94,512.9970093,79807.66397,35,65
20,6021010300,Glenn,47705704.83,990.1560059,48179.98836,23,38
21,6077005213,San Joaquin,30814675.58,14.90550041,2067335.864,88,80
22,6029003307,Kern,33666208.03,387.8640137,86798.99874,37,21
23,6037404600,Los Angeles,23177314.28,9.610699654,2411615.711,90,86
24,6047002002,Merced,34866708.65,74.99849701,464898.7652,73,67
25,6031001703,Kings,31408729.66,297.5840149,105545.7554,43,65
26,6071011700,San Bernardino,41640653,162.927002,255578.5874,64,52
27,6107000302,Tulare,25589252.48,50.78620148,503862.3039,74,84
28,6067009653,Sacramento,26238789.55,42.0304985,624279.7608,76,71
29,6011000301,Colusa,27403280.46,40.73460007,672727.3723,77,100
30,6071002204,San Bernardino,33565061.43,7.447390079,4506956.272,96,90
31,6113011208,Yolo,22813652.24,67.22530365,339361.0887,69,66
32,6107004200,Tulare,26372138.46,152.9640045,172407.4794,55,68
33,6107002402,Tulare,26331303.63,54.83909988,480155.6496,73,83
34,6019001700,Fresno,22671209.58,28.35370064,799585.5591,78,87
35,6077004600,San Joaquin,19874886.86,53.63539886,370555.4033,70,64
36,6107003201,Tulare,24893015.58,106.7320023,233229.1633,62,76
37,6037920326,Los Angeles,19235674,28.32080078,679206.5715,77,74
38,6065940600,Riverside,23247661.43,11.06439972,2101122.702,88,86
